unidade_cedente,unidade_destinataria,quantidade,participacao_pct
VARA DO TRABALHO DE ITAPEMA,2ª VARA DO TRABALHO DE TUBARÃO,2,0.2706359945872801
VARA DO TRABALHO DE ITAPEMA,VARA DO TRABALHO DE INDAIAL,2,0.2706359945872801
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,3ª VARA DO TRABALHO DE BLUMENAU,2,0.2706359945872801
VARA DO TRABALHO DE SÃO MIGUEL DO OESTE,1ª VARA DO TRABALHO DE LAGES,2,0.2706359945872801
1ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE INDAIAL,2,0.2706359945872801
VARA DO TRABALHO DE PALHOÇA,VARA DO TRABALHO DE INDAIAL,2,0.2706359945872801
VARA DO TRABALHO DE PALHOÇA,VARA DO TRABALHO DE CURITIBANOS,2,0.2706359945872801
VARA DO TRABALHO DE NAVEGANTES,1ª VARA DO TRABALHO DE LAGES,2,0.2706359945872801
VARA DO TRABALHO DE PALHOÇA,4ª VARA DO TRABALHO DE BLUMENAU,2,0.2706359945872801
VARA DO TRABALHO DE PALHOÇA,2ª VARA DO TRABALHO DE LAGES,2,0.2706359945872801
VARA DO TRABALHO DE NAVEGANTES,2ª VARA DO TRABALHO DE BRUSQUE,2,0.2706359945872801
VARA DO TRABALHO DE PALHOÇA,2ª VARA DO TRABALHO DE BRUSQUE,2,0.2706359945872801
VARA DO TRABALHO DE PALHOÇA,1ª VARA DO TRABALHO DE LAGES,2,0.2706359945872801
VARA DO TRABALHO DE PALHOÇA,1ª VARA DO TRABALHO DE BRUSQUE,2,0.2706359945872801
VARA DO TRABALHO DE PALHOÇA,3ª VARA DO TRABALHO DE BLUMENAU,2,0.2706359945872801
1ª VARA DO TRABALHO DE JOINVILLE,VARA DO TRABALHO DE ARARANGUÁ,2,0.2706359945872801
VARA DO TRABALHO DE IMBITUBA,VARA DO TRABALHO DE CANOINHAS,2,0.2706359945872801
3ª VARA DO TRABALHO DE CHAPECÓ,2ª VARA DO TRABALHO DE BLUMENAU,2,0.2706359945872801
3ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE CURITIBANOS,2,0.2706359945872801
5ª VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE TUBARÃO,2,0.2706359945872801
2ª VARA DO TRABALHO DE CHAPECÓ,2ª VARA DO TRABALHO DE BRUSQUE,2,0.2706359945872801
2ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE ARARANGUÁ,2,0.2706359945872801
5ª VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE BLUMENAU,2,0.2706359945872801
5ª VARA DO TRABALHO DE JOINVILLE,1ª VARA DO TRABALHO DE TUBARÃO,2,0.2706359945872801
5ª VARA DO TRABALHO DE JOINVILLE,1ª VARA DO TRABALHO DE LAGES,2,0.2706359945872801
1ª VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE BLUMENAU,2,0.2706359945872801
2ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE SÃO BENTO DO SUL,2,0.2706359945872801
1ª VARA DO TRABALHO DE JOINVILLE,2ª VARA DO TRABALHO DE BRUSQUE,2,0.2706359945872801
VARA DO TRABALHO DE IMBITUBA,VARA DO TRABALHO DE INDAIAL,2,0.2706359945872801
4ª VARA DO TRABALHO DE CHAPECÓ,VARA DO TRABALHO DE FRAIBURGO,2,0.2706359945872801
